username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
ScottGrovesCO,2017-09-17 04:47,0,0,"Wow, 12 hours for you to actually reply back! Stellar customer service! Nice to know that you really care about your customers!",,,,"909337894225137664",https://twitter.com/ScottGrovesCO/status/909337894225137664
TampaElectric,2017-09-17 02:00,2,3,"The Quick Pay website & phone system are undergoing maintenance & unavailable for processing credit card payments until 7 a.m. We apologize.",,,,"909295972097953793",https://twitter.com/TampaElectric/status/909295972097953793
TampaElectric,2017-09-17 00:28,1,1,"If your outage still exists, please reply to send us your specific address in a private message.",,,,"909272808995397633",https://twitter.com/TampaElectric/status/909272808995397633
TampaElectric,2017-09-17 00:27,0,0,"If your outage still exists, please reply to send us your specific address in a private message.",,,,"909272581894701056",https://twitter.com/TampaElectric/status/909272581894701056
TampaElectric,2017-09-17 00:26,0,0,"If your outage still exists, please reply to send us your specific address in a private message.",,,,"909272425489207296",https://twitter.com/TampaElectric/status/909272425489207296
TampaElectric,2017-09-17 00:22,0,0,"If your outage still exists, please reply to send us your specific address in a private message.",,,,"909271403408609280",https://twitter.com/TampaElectric/status/909271403408609280
TampaElectric,2017-09-17 00:21,1,0,"If your outage still exists, please reply to send us your specific address in a private message.",,,,"909271137128976384",https://twitter.com/TampaElectric/status/909271137128976384
TampaElectric,2017-09-17 00:20,0,0,"If your outage still exists, please reply to send us your specific address in a private message.",,,,"909270901002207232",https://twitter.com/TampaElectric/status/909270901002207232
TampaElectric,2017-09-17 00:19,0,0,"If your outage still exists, please reply to send us your specific address in a direct message for privacy.",,,,"909270612383760385",https://twitter.com/TampaElectric/status/909270612383760385
DrostePeter,2017-09-16 23:24,0,0,"Have the owners of TECO come down from Canada to look things over after the storm?",,,,"909256714125529094",https://twitter.com/DrostePeter/status/909256714125529094
TampaElectric,2017-09-16 23:21,6,9,"TECO's Nicki Narloch shares what she has been doing to support restoration efforts. #IrmaRecovery pic.twitter.com/CP7vr9LOYR",,,#IrmaRecovery,"909256083058909185",https://twitter.com/TampaElectric/status/909256083058909185
chloeangelabby,2017-09-16 23:14,0,0,"Thank you so much so glad to be out of the dark, your team rocks",,,,"909254246129954817",https://twitter.com/chloeangelabby/status/909254246129954817
RodStickler,2017-09-16 22:39,0,1,"Listen I've been critical of @TampaElectric I still don't understand archaic technology but by these numbers got to hand it to them. pic.twitter.com/vY1nbOYtB6",,@TampaElectric,,"909245308474920960",https://twitter.com/RodStickler/status/909245308474920960
alvareznotarys2,2017-09-16 21:52,0,0,"Thank you Teco",,,,"909233531871776768",https://twitter.com/alvareznotarys2/status/909233531871776768
CalCourtKy,2017-09-16 21:17,0,1,"Mom has hers back and she's on the way home from KY.",,,,"909224805420851200",https://twitter.com/CalCourtKy/status/909224805420851200
oldnavychick68,2017-09-16 20:35,0,0,"Thank you to all the linemen who risk their lives to restore the power! You all rock!!!",,,,"909214230796173313",https://twitter.com/oldnavychick68/status/909214230796173313
TampaElectric,2017-09-16 20:00,1,1,"Downed power lines are extremely dangerous; stay away and warn others to stay away. https:// youtu.be/w-s_OtitKh8 pic.twitter.com/ijKCfWFYyY",,,,"909205428428578817",https://twitter.com/TampaElectric/status/909205428428578817
Pamela82413345,2017-09-16 19:11,0,1,"There's another hurricane called Maria that could be here in 2 weeks, maybe you should ask them 2 stay.",,,,"909192964232110080",https://twitter.com/Pamela82413345/status/909192964232110080
TampaElectric,2017-09-16 19:00,6,8,"When cleaning up after Irma, be careful. Stay away from power lines. https:// youtu.be/8fUmfIBw-rs pic.twitter.com/dnUbQymc4b",,,,"909190326103011328",https://twitter.com/TampaElectric/status/909190326103011328
TampaElectric,2017-09-16 18:53,10,23,"It's a reunion! TECO's Bill Shepler and TECO Services President Sarah MacDonald thank the Canadians helping with restoration. #IrmaRecovery pic.twitter.com/uWhyUuxu6a",,,#IrmaRecovery,"909188514750828544",https://twitter.com/TampaElectric/status/909188514750828544
GulfPower,2017-09-16 18:47,5,8,"A couple of Dade City residents drop by to thank Gulf Power linemen for working to restore their power. #IRMArecovery @TampaElectric pic.twitter.com/cqYcSJ103u",,@TampaElectric,#IRMArecovery,"909187070631059456",https://twitter.com/GulfPower/status/909187070631059456
fande3rls1,2017-09-16 18:08,0,0,"Ya think .",,,,"909177147713089537",https://twitter.com/fande3rls1/status/909177147713089537
TampaElectric,2017-09-16 18:00,7,8,"Never use portable generators indoors. http:// ht.ly/3MpX30fcZH7 pic.twitter.com/vZ0wzVnP7R",,,,"909175244748935170",https://twitter.com/TampaElectric/status/909175244748935170
gigicdh,2017-09-16 17:32,0,0,"Not in my household...yout bragging means nothing",,,,"909168030885842946",https://twitter.com/gigicdh/status/909168030885842946
gigicdh,2017-09-16 17:27,0,0,"@TampaElectric your 98.1% restored means nothing to my family...still no power TECO",,@TampaElectric,,"909166754626260993",https://twitter.com/gigicdh/status/909166754626260993
Jbenik,2017-09-16 17:18,0,1,"I'm so proud to be a @TampaElectric / @TECOPeoplesGas EMPLOYEE!",,@TampaElectric @TECOPeoplesGas,,"909164666890461184",https://twitter.com/Jbenik/status/909164666890461184
Sher5577,2017-09-16 17:01,1,0,"Proud to be on this Team...",,,,"909160370283192321",https://twitter.com/Sher5577/status/909160370283192321
TampaElectric,2017-09-16 16:53,9,14,"How do you feed 4,000 hungry utility crews? TECO's Lynn Pushman explanins. #IrmaRecovery pic.twitter.com/1sgwDqIHOE",,,#IrmaRecovery,"909158284728430592",https://twitter.com/TampaElectric/status/909158284728430592
HomeBoySlays,2017-09-16 16:40,0,0,"Ight gimme 5",,,,"909155093076996096",https://twitter.com/HomeBoySlays/status/909155093076996096
DazBGod,2017-09-16 16:40,0,0,"yeah me you jimmy jeremy",,,,"909155018716139521",https://twitter.com/DazBGod/status/909155018716139521
HomeBoySlays,2017-09-16 16:38,0,0,"I'll get on if we have enough to play trials",,,,"909154435254947845",https://twitter.com/HomeBoySlays/status/909154435254947845
JohnAKillerCat,2017-09-16 16:37,0,0,"But you killed me and my entire neighborhood power when we never lost it the first place @TECOEnergy what's up? #why",,@TECOEnergy,#why,"909154316883316737",https://twitter.com/JohnAKillerCat/status/909154316883316737
DazBGod,2017-09-16 16:37,0,0,"you dont wanna play trails?",,,,"909154255361241088",https://twitter.com/DazBGod/status/909154255361241088
HomeBoySlays,2017-09-16 16:36,0,0,"Eh I kinda played a lot this morning, got my titan to 220 light. Maybe later",,,,"909154146980368386",https://twitter.com/HomeBoySlays/status/909154146980368386
DazBGod,2017-09-16 16:35,0,0,"tryna play?",,,,"909153819136811008",https://twitter.com/DazBGod/status/909153819136811008
HomeBoySlays,2017-09-16 16:35,1,0,"I'm still at my buddies place, can't go home thanks to a certain power company.",,,,"909153672826847232",https://twitter.com/HomeBoySlays/status/909153672826847232
DazBGod,2017-09-16 16:32,0,0,"you home ?",,,,"909153144956997633",https://twitter.com/DazBGod/status/909153144956997633
janemiami,2017-09-16 15:57,0,0,"America at her best! #IrmaRecovery",,,#IrmaRecovery,"909144323576516614",https://twitter.com/janemiami/status/909144323576516614
ReillyWingert,2017-09-16 15:37,0,1,"I'm selling all of my stuff",,,,"909139103123304448",https://twitter.com/ReillyWingert/status/909139103123304448
TampaElectric,2017-09-16 15:30,7,8,"Downed power lines are extremely dangerous; stay away and warn others to stay away. pic.twitter.com/hfoaF9kFsj",,,,"909137422809812994",https://twitter.com/TampaElectric/status/909137422809812994
TampaElectric,2017-09-16 15:10,3,15,"Crews head out this morning from the Florida State Fairgrounds to continue restoring service to Tampa Electric customers. #IrmaRecovery pic.twitter.com/SgwlwsSAFq",,,#IrmaRecovery,"909132347811000320",https://twitter.com/TampaElectric/status/909132347811000320
RickyD208,2017-09-16 14:33,4,12,"@ConEdison crews working in Florida helping @TampaElectric 's restoration efforts. #IrmaRecovery pic.twitter.com/7gwmuTJapT",,@ConEdison @TampaElectric,#IrmaRecovery,"909123048711757825",https://twitter.com/RickyD208/status/909123048711757825
RDL_Logan,2017-09-16 14:00,0,0,"Not Yet!",,,,"909114784402038784",https://twitter.com/RDL_Logan/status/909114784402038784
tracyrakes_,2017-09-16 13:54,0,0,"Thank you to everyone",,,,"909113176746348544",https://twitter.com/tracyrakes_/status/909113176746348544
Lycheemander,2017-09-16 13:44,0,0,"Tell us if this changes",,,,"909110712198467584",https://twitter.com/Lycheemander/status/909110712198467584
PinChasers,2017-09-16 13:32,0,1,"Thank you, @TampaElectric !",,@TampaElectric,,"909107672645083136",https://twitter.com/PinChasers/status/909107672645083136
TampaElectric,2017-09-16 13:22,1,2,"40Fifty Lofts has power. Building still out? Call 877-588-1010; text OUT to 35069; or report to http:// tecoaccount.com/outage . #IrmaRestoration",,,#IrmaRestoration,"909105177625530370",https://twitter.com/TampaElectric/status/909105177625530370
GulfPower,2017-09-16 13:02,4,7,"Linemen replace a cross arm in a rural area outside Dade City, where 1,000 people were w/o power Saturday. #IRMArecovery @TampaElectric pic.twitter.com/hb6PGNRnqD",,@TampaElectric,#IRMArecovery,"909100218137944064",https://twitter.com/GulfPower/status/909100218137944064
mrsmurder81,2017-09-16 12:46,0,1,"Our power was back and now it is down again. Even though we are hot we appreciate all your hard work!",,,,"909096130121732097",https://twitter.com/mrsmurder81/status/909096130121732097
TampaElectric,2017-09-16 12:44,3,4,"Early morning preparations to feed crews. #IrmaRestoration pic.twitter.com/Qg2vVUXXcj",,,#IrmaRestoration,"909095650603741185",https://twitter.com/TampaElectric/status/909095650603741185
TampaElectric,2017-09-16 12:42,2,3,"Tampa Electric operations manager Irma Lawrence explains what her team is doing to support the crews. #IrmaRestoration pic.twitter.com/mEyFEYP0B8",,,#IrmaRestoration,"909095280393555968",https://twitter.com/TampaElectric/status/909095280393555968
TampaElectric,2017-09-16 12:36,1,1,"The TECO logistics team works behind the scenes to help our crews restore power after #Irma . #IrmaRestoration pic.twitter.com/Rp31NmqPUn",,,#Irma #IrmaRestoration,"909093680723701760",https://twitter.com/TampaElectric/status/909093680723701760
TampaElectric,2017-09-16 12:28,2,2,"Our crews appreciate your messages! If your power has not been restored yet, please visit http:// tecoaccount.com/outage . You may need to enroll. pic.twitter.com/MHIrSEBqJD",,,,"909091721576898560",https://twitter.com/TampaElectric/status/909091721576898560
ScottGrovesCO,2017-09-16 12:28,0,0,"This is such fucking bullshit. You have power, no you don't! @TECOEnergy @TampaElectric",,@TECOEnergy @TampaElectric,,"909091703579201536",https://twitter.com/ScottGrovesCO/status/909091703579201536
TampaElectric,2017-09-16 12:28,7,5,"John Hill, Carla Villanueva and Juan Villa describe the restoration process at South Hillsborough - Wimauma. #IrmaRecovery pic.twitter.com/fwALyfNDMy",,,#IrmaRecovery,"909091669550731265",https://twitter.com/TampaElectric/status/909091669550731265
TampaElectric,2017-09-16 12:27,3,4,"Safety instructions in Spanish for crews. #IrmaRecovery pic.twitter.com/ch4ay3c5CD",,,#IrmaRecovery,"909091332727164933",https://twitter.com/TampaElectric/status/909091332727164933
ScottGrovesCO,2017-09-16 12:27,0,0,"Can you please tell us when we can safely buy food and not spend more money than we have already due to you not being prepared? #criminal",,,#criminal,"909091312233844736",https://twitter.com/ScottGrovesCO/status/909091312233844736
TampaElectric,2017-09-16 12:21,4,11,"Take a look at what’s happening behind the scenes in Wimauma. pic.twitter.com/g8rZdqbkba",,,,"909089799528681472",https://twitter.com/TampaElectric/status/909089799528681472
ScottGrovesCO,2017-09-16 12:12,0,0,"Glad we're only going to have $50 worth of food to throw out that we bought this morning. This is pathetic!",,,,"909087716167569409",https://twitter.com/ScottGrovesCO/status/909087716167569409
ScottGrovesCO,2017-09-16 12:11,0,0,"And the power is off again. Are you fucking kidding me?",,,,"909087335052177408",https://twitter.com/ScottGrovesCO/status/909087335052177408
TampaElectric,2017-09-16 10:59,6,14,"No explanation needed. pic.twitter.com/u5lvySKfyy",,,,"909069317228068866",https://twitter.com/TampaElectric/status/909069317228068866
TampaElectric,2017-09-16 10:55,4,10,"A lot of people work behind the scenes so crews can work on restoration. #IrmaRecovery pic.twitter.com/uYVhSjya9J",,,#IrmaRecovery,"909068168760610816",https://twitter.com/TampaElectric/status/909068168760610816
TampaElectric,2017-09-16 10:54,5,10,"Tampa Electric nearly complete on restoration from Hurricane Irma – Update No. 5 http:// ht.ly/F3Pf30fcKxH",,,,"909067908474638336",https://twitter.com/TampaElectric/status/909067908474638336
TampaElectric,2017-09-16 10:53,2,5,"Plant City shows some love. pic.twitter.com/6XMGU4po4l",,,,"909067660599717888",https://twitter.com/TampaElectric/status/909067660599717888
DavidPamintuan1,2017-09-16 10:35,0,0,"It came back on Wednesday around 4:30pm",,,,"909063183947706369",https://twitter.com/DavidPamintuan1/status/909063183947706369
mcconnpat,2017-09-16 10:26,0,0,"My 87 yr old father and two dogs were without power for five days. That's not a fast turnaround. #Get Real",,,#Get,"909060906667118593",https://twitter.com/mcconnpat/status/909060906667118593
LamboLaw,2017-09-16 10:21,0,1,"@TampaElectric THANK YOU for all the hard work. Wellswood thanks you as well. Tampa is the best city to live, work and play in. #tampastrong",,@TampaElectric,#tampastrong,"909059579690016768",https://twitter.com/LamboLaw/status/909059579690016768
TampaElectric,2017-09-16 10:01,4,10,"A lot of people work behind the scenes so crews can work on restoration. #IrmaRecovery pic.twitter.com/vMkSjKn5o0",,,#IrmaRecovery,"909054732379021313",https://twitter.com/TampaElectric/status/909054732379021313
ScottGrovesCO,2017-09-16 10:01,0,0,"Both Teco and Duke were waiting for FEMA funds to get a free upgrade of their equipment at the expense of us not having power.",,,,"909054578502533120",https://twitter.com/ScottGrovesCO/status/909054578502533120
wayne_cochran,2017-09-16 09:31,0,4,"Crossing my fingers that I will have power restored this weekend. #hurricaneimra #tampa @TampaElectric",,@TampaElectric,#hurricaneimra #tampa,"909047119767535616",https://twitter.com/wayne_cochran/status/909047119767535616
kmcgonnigal,2017-09-16 09:28,0,0,"@TampaElectric Lineman drive 4 days from New Brunswick, Canada! Thank you! pic.twitter.com/sQVPqlWwlM",,@TampaElectric,,"909046425400508416",https://twitter.com/kmcgonnigal/status/909046425400508416
MinimumGnome,2017-09-16 09:25,0,0,"#HurricaneIrma #PostStorm Update: My place has power. #Yay @TampaElectric Cristina's does not #Shame @DukeEnergy Heading home today. pic.twitter.com/YKL8ehQplB",,@TampaElectric @DukeEnergy,#HurricaneIrma #PostStorm #Yay #Shame,"909045642210705408",https://twitter.com/MinimumGnome/status/909045642210705408
RDL_Logan,2017-09-16 09:20,0,0,"Now you are 95 percent done and I am still the only one in my area with no electricity. 5718 Bayshore Blvd 33611",,,,"909044391012126720",https://twitter.com/RDL_Logan/status/909044391012126720
KathySmith827,2017-09-16 09:13,0,0,"I wish Duke Power was doing this well",,,,"909042582327644160",https://twitter.com/KathySmith827/status/909042582327644160
ScottGrovesCO,2017-09-16 09:02,0,0,"TECO waiting for FEMA funds so they can upgrade their system and pay out of state contractors is a quick turnaround for you?",,,,"909039683551842305",https://twitter.com/ScottGrovesCO/status/909039683551842305
ScottGrovesCO,2017-09-16 08:59,1,2,"6 days without power when all surrounding communities and half our apt complex had power Monday night is a quick turnaround to you?",,,,"909039125914963970",https://twitter.com/ScottGrovesCO/status/909039125914963970
MrRogerChan,2017-09-16 08:51,0,0,"Thanks for all the hard work, in the last 5% feels bad but hope the recovery is quick.",,,,"909036916246548480",https://twitter.com/MrRogerChan/status/909036916246548480
ScottGrovesCO,2017-09-16 08:42,1,1,"Finally got power today and the internet is up. How bad is it that @FrontierCorp did a better job than @TECOEnergy @TampaElectric",,@FrontierCorp @TECOEnergy @TampaElectric,,"909034800257871873",https://twitter.com/ScottGrovesCO/status/909034800257871873
DrGFla,2017-09-16 08:39,0,0,"It's Watrous",,,,"909033895517093888",https://twitter.com/DrGFla/status/909033895517093888
TampaElectric,2017-09-16 08:30,8,20,"TECO team members work behind the scenes to feed the extra crew members. #IrmaRecovery pic.twitter.com/LndnZ09fmA",,,#IrmaRecovery,"909031731663114240",https://twitter.com/TampaElectric/status/909031731663114240
PinChasers,2017-09-16 08:17,0,2,"To our Midtown customers only-power went out late last night-we are working with @TampaElectric to restore soon to not disrupt Bday parties.",,@TampaElectric,,"909028569959079937",https://twitter.com/PinChasers/status/909028569959079937
TampaElectric,2017-09-16 08:00,4,7,"A lot of planning goes into transporting 4,000 extra crew members. #IrmaRecovery pic.twitter.com/11VYF9fxHu",,,#IrmaRecovery,"909024165847584768",https://twitter.com/TampaElectric/status/909024165847584768
susan_skroberts,2017-09-16 07:32,0,1,"Thanks to all I am in the 95%!",,,,"909017239667474434",https://twitter.com/susan_skroberts/status/909017239667474434
rachelk5000,2017-09-16 07:19,0,1,"Thank you",,,,"909013761247334400",https://twitter.com/rachelk5000/status/909013761247334400
SirrahMoney,2017-09-16 06:52,1,2,"Thank you for your quick turnaround serving others. It's is truly appreciated.",,,,"909006994396282881",https://twitter.com/SirrahMoney/status/909006994396282881
maoked,2017-09-16 06:44,0,1,"But they got all their PPE on #osha !!",,,#osha,"909005168666136576",https://twitter.com/maoked/status/909005168666136576
TampaElectric,2017-09-16 06:08,46,103,"As of this morning, we have restored service to 95 percent of the 425,000 customers who lost power during #IrmaRecovery . pic.twitter.com/vWaQ8cjEHR",,,#IrmaRecovery,"908996085628248064",https://twitter.com/TampaElectric/status/908996085628248064
Numbercrnchr,2017-09-16 00:09,0,0,"Making a difference!",,,,"908905642122989568",https://twitter.com/Numbercrnchr/status/908905642122989568
daylightdis,2017-09-15 23:55,0,0,"One person working, three people watching. Seems about right.",,,,"908902160792002560",https://twitter.com/daylightdis/status/908902160792002560
daylightdis,2017-09-15 23:54,3,2,"How about helping @DukeEnergy who couldn't manage their way out of a wet paper bag!",,@DukeEnergy,,"908901978327146497",https://twitter.com/daylightdis/status/908901978327146497
daylightdis,2017-09-15 23:51,0,0,"Why are they not BUSY? You are getting paid so move your asses and stop slacking posing for propaganda! People are literally dying!",,,,"908901092842524672",https://twitter.com/daylightdis/status/908901092842524672
nevillelou,2017-09-15 22:39,0,0,"@TampaElectric I live in sr community. We get different date whenever someone calls. Be straight with us.",,@TampaElectric,,"908883056257323008",https://twitter.com/nevillelou/status/908883056257323008
RDL_Logan,2017-09-15 22:11,0,0,"Phone 813-373-0958",,,,"908875987999510528",https://twitter.com/RDL_Logan/status/908875987999510528
RDL_Logan,2017-09-15 22:08,0,0,"My address is 5718 Bayshore Blvd, 33611",,,,"908875309981814784",https://twitter.com/RDL_Logan/status/908875309981814784
2SAPT,2017-09-15 22:08,0,0,"@tampaelectric You've been bustin it trying to get us back in biz. Thank you, Matt (TECO) & Frank/Cmdr 1 Canadians for your help- Beachway",,@tampaelectric,,"908875174363181056",https://twitter.com/2SAPT/status/908875174363181056
dannywjohnson,2017-09-15 21:39,0,0,"@TampaElectric why is your outage map not updated? 64 households in my complex alone out of power- your site says 16.",,@TampaElectric,,"908867876949495808",https://twitter.com/dannywjohnson/status/908867876949495808
Linda97157,2017-09-15 21:08,0,0,"THANK YOU!",,,,"908859992391995392",https://twitter.com/Linda97157/status/908859992391995392
MeeuRotaru,2017-09-15 21:03,1,0,"Did you get power yet? I heard some people still haven't",,,,"908858746436190208",https://twitter.com/MeeuRotaru/status/908858746436190208
RoxanneLowe254,2017-09-15 20:31,0,0,"Thank you @TampaElectric for all you did in Winter Haven/Lake Alfred. Your diligent & fast work in restoring our power was APPRECIATED! https:// twitter.com/tampaelectric/ status/908775906914832387 …",,@TampaElectric,,"908850882149744641",https://twitter.com/RoxanneLowe254/status/908850882149744641
fruedianslipper,2017-09-15 20:28,0,0,"@TampaElectric i never lost power... THANKS! To you and the lineworkers for working so hard to restore power to those less fortunate.",,@TampaElectric,,"908849968076787717",https://twitter.com/fruedianslipper/status/908849968076787717
GulfPower,2017-09-15 20:00,5,14,"While bucket trucks help reach heights needed, every lineman is trained in the "old school" ways - climbing. #irmarecovery @TampaElectric pic.twitter.com/vqW72M8FIu",,@TampaElectric,#irmarecovery,"908843084762554368",https://twitter.com/GulfPower/status/908843084762554368
TampaElectric,2017-09-15 19:48,0,0,"3/3 Once we receive your DM we will be happy to further assist you. Please be safe!",,,,"908840072719585280",https://twitter.com/TampaElectric/status/908840072719585280
TampaElectric,2017-09-15 19:48,0,0,"2/3 You can report your outage online at http://www. tampaelectric.com/outage or http://www. tecoaccount.com/outage or call 877-588-1010.",,,,"908840045498552320",https://twitter.com/TampaElectric/status/908840045498552320
TampaElectric,2017-09-15 19:48,0,0,"1/3 Please DM us your address & phone number so we can check on the outage for you.",,,,"908840002775285761",https://twitter.com/TampaElectric/status/908840002775285761
profett1,2017-09-15 19:33,0,0,"the thunder Gods givith! Not sure for how long. I know it's a trying time. I hope that it stays on. Truly, thank you all for everything.",,,,"908836086788575233",https://twitter.com/profett1/status/908836086788575233
TampaElectric,2017-09-15 19:32,0,0,"Please make the decision that is best for your health and seek medical assistance if needed. Thank you.",,,,"908835835444973569",https://twitter.com/TampaElectric/status/908835835444973569
dannywjohnson,2017-09-15 19:31,1,0,"Power is out again! At least I had it back for a day and a half! @TampaElectric get it together. Generic "restore by Sunday" response...",,@TampaElectric,,"908835683980206080",https://twitter.com/dannywjohnson/status/908835683980206080
TampaElectric,2017-09-15 19:30,0,0,"1/2 Please DM us your address & phone number so we can report the outage for you.",,,,"908835535501881344",https://twitter.com/TampaElectric/status/908835535501881344
Michael96860985,2017-09-15 19:11,0,1,"Thanks to all the lineman out there sacrificing time away from there family to help restore power. And sorry for the people who complain.",,,,"908830600588677121",https://twitter.com/Michael96860985/status/908830600588677121
