TampaElectric,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
TampaElectric,2017-09-17 16:19,0,0,It was too long! Just ask my 87 yr old father!,,,,9.09512107242205E+017,https://twitter.com/mcconnpat/status/909512107242205184
TampaElectric,2017-09-17 15:40,0,0,@TampaElectric my neighbors still don't have power. They're the only ones without on our entire block. Bay Villa Ave 33611,,@TampaElectric,,9.09502367770571E+017,https://twitter.com/Beau21Dragons/status/909502367770570758
TampaElectric,2017-09-17 15:34,0,0,"You should probably remind them not to test outlets by sticking forks in the socket, too.",,,,9.09500740791685E+017,https://twitter.com/rqd/status/909500740791685123
TampaElectric,2017-09-17 11:26,1,1,"Hey @TampaElectric I know things have been crazy, but 4 called in reports and this tree is still resting on live wires. Help? pic.twitter.com/n3ClxvcpGS",,@TampaElectric,,9.09438330990973E+017,https://twitter.com/ericcturner/status/909438330990972928
TampaElectric,2017-09-17 04:53,0,0,"Your profile says you live in California. You don't live here in FL, do you?",,,,9.09339589525033E+017,https://twitter.com/ScottGrovesCO/status/909339589525032961
TampaElectric,2017-09-17 04:47,0,0,"Wow, 12 hours for you to actually reply back! Stellar customer service! Nice to know that you really care about your customers!",,,,9.09337894225138E+017,https://twitter.com/ScottGrovesCO/status/909337894225137664
TampaElectric,2017-09-16 23:24,0,0,Have the owners of TECO come down from Canada to look things over after the storm?,,,,9.09256714125529E+017,https://twitter.com/DrostePeter/status/909256714125529094
TampaElectric,2017-09-16 23:14,0,0,"Thank you so much so glad to be out of the dark, your team rocks",,,,9.09254246129955E+017,https://twitter.com/chloeangelabby/status/909254246129954817
TampaElectric,2017-09-16 22:39,0,0,Listen I've been critical of @TampaElectric I still don't understand archaic technology but by these numbers got to hand it to them. pic.twitter.com/vY1nbOYtB6,,@TampaElectric,,9.09245308474921E+017,https://twitter.com/RodStickler/status/909245308474920960
TampaElectric,2017-09-16 21:52,0,0,Thank you Teco,,,,9.09233531871777E+017,https://twitter.com/alvareznotarys2/status/909233531871776768
TampaElectric,2017-09-16 21:17,0,1,Mom has hers back and she's on the way home from KY.,,,,9.09224805420851E+017,https://twitter.com/CalCourtKy/status/909224805420851200
TampaElectric,2017-09-16 20:35,0,0,Thank you to all the linemen who risk their lives to restore the power! You all rock!!!,,,,9.09214230796173E+017,https://twitter.com/oldnavychick68/status/909214230796173313
TampaElectric,2017-09-16 18:47,5,8,A couple of Dade City residents drop by to thank Gulf Power linemen for working to restore their power. #IRMArecovery @TampaElectric pic.twitter.com/cqYcSJ103u,,@TampaElectric,#IRMArecovery,9.09187070631059E+017,https://twitter.com/GulfPower/status/909187070631059456
TampaElectric,2017-09-16 18:08,0,0,Ya think .,,,,9.0917714771309E+017,https://twitter.com/fande3rls1/status/909177147713089537
TampaElectric,2017-09-16 17:32,0,0,Not in my household...yout bragging means nothing,,,,9.09168030885843E+017,https://twitter.com/gigicdh/status/909168030885842946
TampaElectric,2017-09-16 17:27,0,0,@TampaElectric your 98.1% restored means nothing to my family...still no power TECO,,@TampaElectric,,9.09166754626261E+017,https://twitter.com/gigicdh/status/909166754626260993
TampaElectric,2017-09-16 17:18,0,1,I'm so proud to be a @TampaElectric / @TECOPeoplesGas EMPLOYEE!,,@TampaElectric @TECOPeoplesGas,,9.09164666890461E+017,https://twitter.com/Jbenik/status/909164666890461184
TampaElectric,2017-09-16 17:01,1,0,Proud to be on this Team...,,,,9.09160370283192E+017,https://twitter.com/Sher5577/status/909160370283192321
TampaElectric,2017-09-16 16:40,0,0,Ight gimme 5,,,,9.09155093076996E+017,https://twitter.com/HomeBoySlays/status/909155093076996096
TampaElectric,2017-09-16 16:40,0,0,yeah me you jimmy jeremy,,,,9.0915501871614E+017,https://twitter.com/DazBGod/status/909155018716139521
TampaElectric,2017-09-16 16:38,0,0,I'll get on if we have enough to play trials,,,,9.09154435254948E+017,https://twitter.com/HomeBoySlays/status/909154435254947845
TampaElectric,2017-09-16 16:37,0,0,But you killed me and my entire neighborhood power when we never lost it the first place @TECOEnergy what's up? #why,,@TECOEnergy,#why,9.09154316883317E+017,https://twitter.com/JohnAKillerCat/status/909154316883316737
TampaElectric,2017-09-16 16:37,0,0,you dont wanna play trails?,,,,9.09154255361241E+017,https://twitter.com/DazBGod/status/909154255361241088
TampaElectric,2017-09-16 16:36,0,0,"Eh I kinda played a lot this morning, got my titan to 220 light. Maybe later",,,,9.09154146980368E+017,https://twitter.com/HomeBoySlays/status/909154146980368386
TampaElectric,2017-09-16 16:35,0,0,tryna play?,,,,9.09153819136811E+017,https://twitter.com/DazBGod/status/909153819136811008
TampaElectric,2017-09-16 16:35,1,0,"I'm still at my buddies place, can't go home thanks to a certain power company.",,,,9.09153672826847E+017,https://twitter.com/HomeBoySlays/status/909153672826847232
TampaElectric,2017-09-16 16:32,0,0,you home ?,,,,9.09153144956998E+017,https://twitter.com/DazBGod/status/909153144956997633
TampaElectric,2017-09-16 15:57,0,0,America at her best! #IrmaRecovery,,,#IrmaRecovery,9.09144323576517E+017,https://twitter.com/janemiami/status/909144323576516614
TampaElectric,2017-09-16 15:37,0,1,I'm selling all of my stuff,,,,9.09139103123304E+017,https://twitter.com/ReillyWingert/status/909139103123304448
TampaElectric,2017-09-16 14:33,4,12,@ConEdison crews working in Florida helping @TampaElectric 's restoration efforts. #IrmaRecovery pic.twitter.com/7gwmuTJapT,,@ConEdison @TampaElectric,#IrmaRecovery,9.09123048711758E+017,https://twitter.com/RickyD208/status/909123048711757825
TampaElectric,2017-09-16 14:00,0,0,Not Yet!,,,,9.09114784402039E+017,https://twitter.com/RDL_Logan/status/909114784402038784
TampaElectric,2017-09-16 13:54,0,0,Thank you to everyone,,,,9.09113176746349E+017,https://twitter.com/tracyrakes_/status/909113176746348544
TampaElectric,2017-09-16 13:44,0,0,Tell us if this changes,,,,9.09110712198468E+017,https://twitter.com/Lycheemander/status/909110712198467584
TampaElectric,2017-09-16 13:32,0,1,"Thank you, @TampaElectric !",,@TampaElectric,,9.09107672645083E+017,https://twitter.com/PinChasers/status/909107672645083136
TampaElectric,2017-09-16 13:02,4,7,"Linemen replace a cross arm in a rural area outside Dade City, where 1,000 people were w/o power Saturday. #IRMArecovery @TampaElectric pic.twitter.com/hb6PGNRnqD",,@TampaElectric,#IRMArecovery,9.09100218137944E+017,https://twitter.com/GulfPower/status/909100218137944064
TampaElectric,2017-09-16 12:46,0,1,Our power was back and now it is down again. Even though we are hot we appreciate all your hard work!,,,,9.09096130121732E+017,https://twitter.com/mrsmurder81/status/909096130121732097
TampaElectric,2017-09-16 12:28,0,0,"This is such fucking bullshit. You have power, no you don't! @TECOEnergy @TampaElectric",,@TECOEnergy @TampaElectric,,9.09091703579202E+017,https://twitter.com/ScottGrovesCO/status/909091703579201536
TampaElectric,2017-09-16 12:27,0,0,Can you please tell us when we can safely buy food and not spend more money than we have already due to you not being prepared? #criminal,,,#criminal,9.09091312233845E+017,https://twitter.com/ScottGrovesCO/status/909091312233844736
TampaElectric,2017-09-16 12:12,0,0,Glad we're only going to have $50 worth of food to throw out that we bought this morning. This is pathetic!,,,,9.09087716167569E+017,https://twitter.com/ScottGrovesCO/status/909087716167569409
TampaElectric,2017-09-16 12:11,0,0,And the power is off again. Are you fucking kidding me?,,,,9.09087335052177E+017,https://twitter.com/ScottGrovesCO/status/909087335052177408
TampaElectric,2017-09-16 10:35,0,0,It came back on Wednesday around 4:30pm,,,,9.09063183947706E+017,https://twitter.com/DavidPamintuan1/status/909063183947706369
TampaElectric,2017-09-16 10:26,0,0,My 87 yr old father and two dogs were without power for five days. That's not a fast turnaround. #Get Real,,,#Get,9.09060906667119E+017,https://twitter.com/mcconnpat/status/909060906667118593
TampaElectric,2017-09-16 10:21,0,1,"@TampaElectric THANK YOU for all the hard work. Wellswood thanks you as well. Tampa is the best city to live, work and play in. #tampastrong",,@TampaElectric,#tampastrong,9.09059579690017E+017,https://twitter.com/LamboLaw/status/909059579690016768
TampaElectric,2017-09-16 10:01,0,0,Both Teco and Duke were waiting for FEMA funds to get a free upgrade of their equipment at the expense of us not having power.,,,,9.09054578502533E+017,https://twitter.com/ScottGrovesCO/status/909054578502533120
TampaElectric,2017-09-16 09:31,0,4,Crossing my fingers that I will have power restored this weekend. #hurricaneimra #tampa @TampaElectric,,@TampaElectric,#hurricaneimra #tampa,9.09047119767536E+017,https://twitter.com/wayne_cochran/status/909047119767535616
TampaElectric,2017-09-16 09:28,0,0,"@TampaElectric Lineman drive 4 days from New Brunswick, Canada! Thank you! pic.twitter.com/sQVPqlWwlM",,@TampaElectric,,9.09046425400508E+017,https://twitter.com/kmcgonnigal/status/909046425400508416
TampaElectric,2017-09-16 09:25,0,0,#HurricaneIrma #PostStorm Update: My place has power. #Yay @TampaElectric Cristina's does not #Shame @DukeEnergy Heading home today. pic.twitter.com/YKL8ehQplB,,@TampaElectric @DukeEnergy,#HurricaneIrma #PostStorm #Yay #Shame,9.09045642210706E+017,https://twitter.com/MinimumGnome/status/909045642210705408
TampaElectric,2017-09-16 09:20,0,0,Now you are 95 percent done and I am still the only one in my area with no electricity. 5718 Bayshore Blvd 33611,,,,9.09044391012127E+017,https://twitter.com/RDL_Logan/status/909044391012126720
TampaElectric,2017-09-16 09:13,0,0,I wish Duke Power was doing this well,,,,9.09042582327644E+017,https://twitter.com/KathySmith827/status/909042582327644160
TampaElectric,2017-09-16 09:02,0,0,TECO waiting for FEMA funds so they can upgrade their system and pay out of state contractors is a quick turnaround for you?,,,,9.09039683551842E+017,https://twitter.com/ScottGrovesCO/status/909039683551842305
TampaElectric,2017-09-16 08:59,1,2,6 days without power when all surrounding communities and half our apt complex had power Monday night is a quick turnaround to you?,,,,9.09039125914964E+017,https://twitter.com/ScottGrovesCO/status/909039125914963970
TampaElectric,2017-09-16 08:51,0,0,"Thanks for all the hard work, in the last 5% feels bad but hope the recovery is quick.",,,,9.09036916246549E+017,https://twitter.com/MrRogerChan/status/909036916246548480
TampaElectric,2017-09-16 08:42,1,1,Finally got power today and the internet is up. How bad is it that @FrontierCorp did a better job than @TECOEnergy @TampaElectric,,@FrontierCorp @TECOEnergy @TampaElectric,,9.09034800257872E+017,https://twitter.com/ScottGrovesCO/status/909034800257871873
TampaElectric,2017-09-16 08:39,0,0,It's Watrous,,,,9.09033895517094E+017,https://twitter.com/DrGFla/status/909033895517093888
TampaElectric,2017-09-16 08:17,0,2,To our Midtown customers only-power went out late last night-we are working with @TampaElectric to restore soon to not disrupt Bday parties.,,@TampaElectric,,9.0902856995908E+017,https://twitter.com/PinChasers/status/909028569959079937
TampaElectric,2017-09-16 07:32,0,1,Thanks to all I am in the 95%!,,,,9.09017239667474E+017,https://twitter.com/susan_skroberts/status/909017239667474434
TampaElectric,2017-09-16 07:19,0,1,Thank you,,,,9.09013761247334E+017,https://twitter.com/rachelk5000/status/909013761247334400
TampaElectric,2017-09-16 06:52,1,2,Thank you for your quick turnaround serving others. It's is truly appreciated.,,,,9.09006994396283E+017,https://twitter.com/SirrahMoney/status/909006994396282881
TampaElectric,2017-09-16 06:44,0,1,But they got all their PPE on #osha !!,,,#osha,9.09005168666136E+017,https://twitter.com/maoked/status/909005168666136576
TampaElectric,2017-09-16 00:09,0,0,Making a difference!,,,,9.0890564212299E+017,https://twitter.com/Numbercrnchr/status/908905642122989568
TampaElectric,2017-09-15 23:55,0,0,"One person working, three people watching. Seems about right.",,,,9.08902160792002E+017,https://twitter.com/daylightdis/status/908902160792002560
TampaElectric,2017-09-15 23:54,3,2,How about helping @DukeEnergy who couldn't manage their way out of a wet paper bag!,,@DukeEnergy,,9.08901978327146E+017,https://twitter.com/daylightdis/status/908901978327146497
TampaElectric,2017-09-15 23:51,0,0,Why are they not BUSY? You are getting paid so move your asses and stop slacking posing for propaganda! People are literally dying!,,,,9.08901092842525E+017,https://twitter.com/daylightdis/status/908901092842524672
TampaElectric,2017-09-15 22:39,0,0,@TampaElectric I live in sr community. We get different date whenever someone calls. Be straight with us.,,@TampaElectric,,9.08883056257323E+017,https://twitter.com/nevillelou/status/908883056257323008
TampaElectric,2017-09-15 22:11,0,0,Phone 813-373-0958,,,,9.0887598799951E+017,https://twitter.com/RDL_Logan/status/908875987999510528
TampaElectric,2017-09-15 22:08,0,0,"My address is 5718 Bayshore Blvd, 33611",,,,9.08875309981815E+017,https://twitter.com/RDL_Logan/status/908875309981814784
TampaElectric,2017-09-15 22:08,0,0,"@tampaelectric You've been bustin it trying to get us back in biz. Thank you, Matt (TECO) & Frank/Cmdr 1 Canadians for your help- Beachway",,@tampaelectric,,9.08875174363181E+017,https://twitter.com/2SAPT/status/908875174363181056
TampaElectric,2017-09-15 21:39,0,0,@TampaElectric why is your outage map not updated? 64 households in my complex alone out of power- your site says 16.,,@TampaElectric,,9.08867876949496E+017,https://twitter.com/dannywjohnson/status/908867876949495808
TampaElectric,2017-09-15 21:08,0,0,THANK YOU!,,,,9.08859992391995E+017,https://twitter.com/Linda97157/status/908859992391995392
TampaElectric,2017-09-15 21:03,1,0,Did you get power yet? I heard some people still haven't,,,,9.0885874643619E+017,https://twitter.com/MeeuRotaru/status/908858746436190208
TampaElectric,2017-09-15 20:31,0,0,Thank you @TampaElectric for all you did in Winter Haven/Lake Alfred. Your diligent & fast work in restoring our power was APPRECIATED! https:// twitter.com/tampaelectric/ status/908775906914832387 …,,@TampaElectric,,9.08850882149745E+017,https://twitter.com/RoxanneLowe254/status/908850882149744641
TampaElectric,2017-09-15 20:28,0,0,@TampaElectric i never lost power... THANKS! To you and the lineworkers for working so hard to restore power to those less fortunate.,,@TampaElectric,,9.08849968076787E+017,https://twitter.com/fruedianslipper/status/908849968076787717
TampaElectric,2017-09-15 20:00,5,15,"While bucket trucks help reach heights needed, every lineman is trained in the ""old school"" ways - climbing. #irmarecovery @TampaElectric pic.twitter.com/vqW72M8FIu",,@TampaElectric,#irmarecovery,9.08843084762554E+017,https://twitter.com/GulfPower/status/908843084762554368
TampaElectric,2017-09-15 19:33,0,0,"the thunder Gods givith! Not sure for how long. I know it's a trying time. I hope that it stays on. Truly, thank you all for everything.",,,,9.08836086788575E+017,https://twitter.com/profett1/status/908836086788575233
TampaElectric,2017-09-15 19:31,1,0,"Power is out again! At least I had it back for a day and a half! @TampaElectric get it together. Generic ""restore by Sunday"" response...",,@TampaElectric,,9.08835683980206E+017,https://twitter.com/dannywjohnson/status/908835683980206080
TampaElectric,2017-09-15 19:11,0,1,Thanks to all the lineman out there sacrificing time away from there family to help restore power. And sorry for the people who complain.,,,,9.08830600588677E+017,https://twitter.com/Michael96860985/status/908830600588677121
TampaElectric,2017-09-15 19:07,0,2,Why restore it to turn it off the next day?,,,,9.08829540365021E+017,https://twitter.com/CantThinkaGood1/status/908829540365021184
TampaElectric,2017-09-15 18:57,0,0,@TampaElectric and power just went out. 38hrs without then you give it back and now take it away. Wonder how I'm going to use my nebulizer?,,@TampaElectric,,9.08827202371891E+017,https://twitter.com/profett1/status/908827202371891200
TampaElectric,2017-09-15 18:52,0,0,So frustrated. @TampaElectric called and said our power was restored. We got home and still no power. It's been a week now.,,@TampaElectric,,9.08825862346297E+017,https://twitter.com/breezy_the_mrs/status/908825862346297344
TampaElectric,2017-09-15 18:50,0,1,It takes the City of Tampa 22 hours to reply back to someone? Unreal!,,,,9.08825470552216E+017,https://twitter.com/ScottGrovesCO/status/908825470552215552
TampaElectric,2017-09-15 18:47,0,1,@TampaElectric I have called in my outage several times how can I make sure someone is really coming?,,@TampaElectric,,9.08824614050173E+017,https://twitter.com/RDL_Logan/status/908824614050172929
TampaElectric,2017-09-15 18:26,0,0,"Okay, thanks for representing, but they have a ton of mess up in NYC to deal with; in particular, why do they ALWAYS block #bikenyc lanes?",,,#bikenyc,9.08819407329202E+017,https://twitter.com/jooltman/status/908819407329202178
TampaElectric,2017-09-15 18:26,0,2,This is adorable!,,,,9.08819300294758E+017,https://twitter.com/ConEdison/status/908819300294758401
TampaElectric,2017-09-15 18:10,0,0,But yet your vans/trucks drive by 75th street on 36th ave and don't care that its the only street with no power in the neighborhood..,,,,9.08815320168755E+017,https://twitter.com/Gr8Masta/status/908815320168755200
TampaElectric,2017-09-15 18:01,0,0,"Hey Roy, I'm a reporter with @TB_Times interested to hear from you about the outage. I'm at 7278938804. Can you call please? Thanks",,@TB_Times,,9.08813011472781E+017,https://twitter.com/ZackSampson/status/908813011472781312
TampaElectric,2017-09-15 17:49,0,0,@TampaElectric been 6 days and haven't seen an electric truck from TECO or any state near me,,@TampaElectric,,9.08810039267381E+017,https://twitter.com/micahmath/status/908810039267381250
TampaElectric,2017-09-15 17:47,0,0,"When will ALL of 4 Lakes Golf Club in Winter Haven have power. Some have never been without and only less than 20 remain off, after a week!",,,,9.08809483802919E+017,https://twitter.com/InigoMo54893227/status/908809483802918913
TampaElectric,2017-09-15 17:34,0,0,I hope you have power now!! I got it back on Wednesday.... thank you @TampaElectric !!!,,@TampaElectric,,9.08806177349358E+017,https://twitter.com/HeatherLLong/status/908806177349357568
TampaElectric,2017-09-15 17:30,4,6,A family happily watches Gulf Power's team restore power to their home. Gulf Power continues work in Dade City. #irmarecovery @TampaElectric pic.twitter.com/VtMcyrawkv,,@TampaElectric,#irmarecovery,9.08805238383088E+017,https://twitter.com/GulfPower/status/908805238383087619
TampaElectric,2017-09-15 17:28,0,0,"Hello, please contact @TampaElectric (TECO) to report downed trees affecting power lines by calling 877-588-1010. Thank you!",,@TampaElectric,,9.08804713914749E+017,https://twitter.com/CityofTampa/status/908804713914748928
TampaElectric,2017-09-15 17:15,0,0,@TampaElectric I'm about to go fix my own electricity I have been waiting for 6 days,,@TampaElectric,,9.0880135104349E+017,https://twitter.com/r0yibarra/status/908801351043489793
TampaElectric,2017-09-15 16:40,0,1,If some of the trees were removed that are on or near power lines or transformers- we wouldn't be in this position,,,,9.08792762929176E+017,https://twitter.com/micahmath/status/908792762929176576
TampaElectric,2017-09-15 16:40,0,1,What would have happened if this was a cat 3 or higher,,,,9.08792546754691E+017,https://twitter.com/micahmath/status/908792546754691074
TampaElectric,2017-09-15 16:30,4,7,"Among the support on storm duty is a warehouseman, who brings a transformer to put on a pole near Dade City. #irmarecovery @TampaElectric pic.twitter.com/XdQCcl2d0V",,@TampaElectric,#irmarecovery,9.08790169381347E+017,https://twitter.com/GulfPower/status/908790169381347328
TampaElectric,2017-09-15 16:24,0,0,"1,500 Attaboys",,,,9.08788581682074E+017,https://twitter.com/SunCityJimmy/status/908788581682073600
TampaElectric,2017-09-15 16:17,1,1,Crews have finally arrived in our area. Hopefully the issue will be taken care of soon.,,,,9.08786823123673E+017,https://twitter.com/DHRadio/status/908786823123673088
TampaElectric,2017-09-15 15:18,0,1,At my Veterinary Hospital now- Thank You!!!!!!,,,,9.08771979993534E+017,https://twitter.com/sananvet/status/908771979993534464
TampaElectric,2017-09-15 15:10,0,0,Visited Tampa when I was a kid 4 summer vacation every year! First and only place I was stung by a jellyfish,,,,9.08770035220361E+017,https://twitter.com/truffsnme/status/908770035220361216
TampaElectric,2017-09-15 15:07,0,1,Hurrah! You got power back! Enjoy the AC!,,,,9.08769226680406E+017,https://twitter.com/Kate9Fan/status/908769226680406018
TampaElectric,2017-09-15 15:05,0,2,"Yeah, so happy for Tampa luv you from Texas!",,,,9.08768836047925E+017,https://twitter.com/truffsnme/status/908768836047925248
TampaElectric,2017-09-15 15:02,0,0,Still not a truck in sight....,,,,9.08768063272735E+017,https://twitter.com/gigicdh/status/908768063272734726
TampaElectric,2017-09-15 15:02,0,0,"Thanks! Luckily Irma didn’t hit us as hard, so we were able to clean up and head your way. Glad we could help. ~Steve",,,,9.08767927486309E+017,https://twitter.com/GulfPower/status/908767927486308352
TampaElectric,2017-09-15 15:00,3,9,"Crews continue to work in Dade City today, restoring power to more than 8,000 residents. #irmarecovery @TampaElectric pic.twitter.com/Z2ucgE47bj",,@TampaElectric,#irmarecovery,9.08767561055162E+017,https://twitter.com/GulfPower/status/908767561055162368
TampaElectric,2017-09-15 15:00,20,87,. @tampaelectric has restored power to 90% of customers following #HurricaneIrma &crews are working to get to the remaining 10%. https:// twitter.com/TampaElectric/ status/908707477574885377 …,,@tampaelectric,#HurricaneIrma,9.08767440536052E+017,https://twitter.com/CityofTampa/status/908767440536051714
TampaElectric,2017-09-15 14:53,0,0,Please get me power @TampaElectric I'm dying (not literally). pic.twitter.com/NKxk3IRqOu,,@TampaElectric,,9.08765827737977E+017,https://twitter.com/JoeyCaramico/status/908765827737976837
TampaElectric,2017-09-15 14:52,0,1,pic.twitter.com/uq5FxPZi0a,,,,9.08765388778943E+017,https://twitter.com/foxboy646/status/908765388778942465
TampaElectric,2017-09-15 14:50,0,1,@GulfPower shout out to gulf power for getting their own area sorted then working all the way to pasco 3 days ahead of @TampaElectric,,@GulfPower @TampaElectric,,9.08764966907531E+017,https://twitter.com/foxboy646/status/908764966907531264
TampaElectric,2017-09-15 14:44,0,1,"@TECOEnergy @TampaElectric Please help, quick fix. PLEASE, We're 1 of 3 homes with 1/2 to no electric, PLEASES HELP US 310 Wendi Ln 33570 pic.twitter.com/uXb93wQN6F",,@TECOEnergy @TampaElectric,,9.08763432895287E+017,https://twitter.com/Candi3303/status/908763432895287296
TampaElectric,2017-09-15 14:07,1,2,A Dade City resident thanks Gulf Power for restoring his power late Thursday. He had been out since Saturday. #irmarecovery @TampaElectric pic.twitter.com/suQ0Qf2WgW,,@TampaElectric,#irmarecovery,9.0875417711913E+017,https://twitter.com/GulfPower/status/908754177119129600
